Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-03-16,David Da Silva,@D_Da_Silva7,"En plus d'avoir des idées de merde, Elisabeth Borne a vraiment le charisme d'une assiette Ikea

L'impression que Gilles Bouleau interviewe l'hologramme humain de Chat GPT",326,13
2023-03-24,Dou Niangado,@DouNiangado,"Chat GPT 4 disponible gratuitement sur Bing, le moteur de recherche de Microsoft auquel il est directement incorporé. 

Ne me remerciez pas.",164,14
2023-03-30,𝙂𝙤𝙩𝙤,@sltcgoto,"ChatGPT et Midjourney sont des outils puissants pour la création de contenu, mais le montage vidéo est une compétence de plus en plus recherchée. 

Voici 5 outils de montage vidéo qui rendront votre vie plus simple :

()",118,26
2023-03-28,Anis Ayari | Defend Intelligence,@DFintelligence,"Aurevoir le #web3 qui devait fonctionner sur des services décentralisés qui verront jamais le jour de manière pérenne.

Bonjour le #web4 ou il y a plus besoin de scroller internet du tout, juste interagir avec des modèles d’IA (comme ChatGPT avec des plugins).",276,47
2023-03-19,Hero Mike,@OneHeroMike,"ChatGPT-4 n'a que 5 jours...

Et j'ai (vraiment) trouvé un moyen pour qu'il change ta vie/carrière.

Et j'ai créé une vidéo mais seulement disponible pendant les prochaines 24h 

Like, RT & commente """" et je te l'envoie.

(Tu dois être abonné pour que je puisse t'envoyer un DM)",66,15
2023-03-27,Alexis Poulin,@Poulin2012,"Un président minoritaire et un parti fantoche maltraitent les habitants d’un pays qu’ils saccagent au nom des intérêts des créanciers de la dette. Ils appellent ça la “démocratie”. 

Et c’est pas un scénario de chat GPT.",201,28
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=2-77968a8dvpp6gg48348jpmlad",245,32
2023-03-23,Robbie2Bondy,@robs_jl,Chat GPT fait un peu trop bien son taff faut que je saupoudre de débilité un peu,152,115
2023-03-30,Hervé Le Roux,@rvleroux,"On a commencé le grand oral avec mes Term ce midi. En discutant un peu, certains ont évoqué chatGPT. Si ça se trouve, ce truc va flinguer le GO, ça me ferait trop marrer.",1300,509
2023-03-17,BioHospitalix/geeklix,@BioHospitalix,"Bon je viens de me payer chat gpt 4 pour voir un mois (20$).
Je lui ai donné un bilan bio à interpréter pour voir.
Je peux aller me coucher. Il est bon très bon.
A votre avis quelles professions vont disparaître avec ?",139,4
2023-03-17,Jean-Moundir,@supermegadrivin,Elisabeth Borne pourrait être remplacée par ChatGPT dès la semaine prochaine,79,26
2023-03-13,Thomas Antignac,@Hortensius,"Un étudiant en formation : ""Dans le cadre de ma recherche documentaire, j'ai trouvé une référence fournie par ChatGPT mais je n'arrive pas à la trouver ailleurs que sur ChatGPT. Vous pouvez m'aider à la consulter ?"" #sourceinventée",185,18
2023-03-22,AI EXPLORER,@AiExplorerFR,"Vous ne savez toujours pas utiliser ChatGPT ?

Voici 7 prompts pour l'utiliser à son plein potentiel !

Thread",383,65
2023-03-19,Emilien M.,@hanxhx_,"D'ici 3 mois les offres d'emploi : ""Recherche expert chat gpt 4, vous justifiez d'au minimum 7 ans d'expériences sur un poste similaire, salaire selon profil. Avantages : tickets resto""",328,36
2023-03-24,Les infiltrés,@Les__Infiltres,Macron c’est un peu le chatGPT de l’action publique. Il recrache méthodiquement les fiches de Sciences Po/ENA qu’il a bachotées mais ne comprend pas vraiment et il compense par un aplomb démesuré,72,22
2023-03-16,Beatrice Rosen,@Beatrice_Rosen,"Chat gpt est le nouveau veau d'or.
Les hommes apprendront-ils un jour?",329,32
2023-03-13,Bienvenu Matumo,@matumo_b,Quel est le positionnement pratique des universités congolaises face à l’innovation de l’AI ChatGPT ? Je pense que l’enseignement supérieur et universitaire congolais doit prendre des précautions nécessaires pour intégrer chat GPT dans les modalités d’enseignement et de procédé…,106,22
1970-01-01,MS,@fromUS,"Check out the best Chill Rap playlist on #Spotify  https://open.spotify.com/playlist/2uRyFVqOXgy1P2J49xZ9e0?si=1fca86c37a264c72&twclid=222yteza36elo5kmyd6r09d78a…

#chill #NewMusic2023",164,39
2023-03-14,Pierrick THEVENON,@THEVENONPierri1,"#ChatGPT va-t-il remplacer 
@dr_l_alexandre
 ?",424,38
2023-03-08,2020 fan,@YannisZimm,Chat GPT pas loin de devenir mon meilleur ami là je suis désolé les autres mais cette IA sait mettre des mots sur mes maux,44,11
2023-03-26,plaguemasked,@masquedelapeste,Maintenant quand on m’envoie un message de plus de 10 lignes je demande à ChatGPT de me rédiger la réponse,15000,1500
2023-03-18,CAPET,@Capetlevrai,"ChatGPT 4 vraiment une dinguerie, l'avenir est tellement incroyable envie de vivre 150 ans

Vive l'IA
Vive le capitalisme",150,12
2023-03-15,Erwan Le Noan,@erwanlenoan,"Le monde : chatGPT, drone américain / avion russe, SVB-Crédit Suisse, innovation, commerce, aller sur mars, créer la vie de demain

La France: travailler c’est trop dur, mort aux riches, poubelles dans les rues de Paris et screugneuneu…",330,31
2023-03-02,Le Tréma,@Le_Trema,sarah el-haïry est en fait une version beta de chatGPT,156,14
2023-03-02,Didier Maïsto,@DidierMaisto,Je suis favorable au « Grand Remplacement » : celui des journalistes par #ChatGPT. Au moins on pourrait débrancher la machine sans autre forme de procès.,274,13
2023-03-01,diane de fortanier,@diradefo,"Pendant ce temps sur LinkedIn, le concours de celui qui croit dire le truc le plus intelligent sur ChatGPT continue.",202,126
2023-03-30,𝒚𝒍𝒊𝒆𝒏,@DigitalGanon,"P'tin à la radio des le matin un mec viens nous parler de ChatGPT et des malheurs qui vont arriver dans le monde à cause de l'IA. Genre ""ça va permettre d'automatiser un tiers des emplois mondiaux c'est un drame"" mais non mon reuf c'est très bien, et ça va pas assez loin même.",199,12
2023-03-15,RÆVE,@jeraeve,ChatGPT est quand même un outil puissant quand on maîtrise les bons prompts (et qu'on sait un minimum de quoi on parle),236,47
2023-03-28,Amine Idriss,@amibiaka,"…savez vous que vous pouvez utiliser #ChatGPT pour analyser en 2 prompts un article & montrer s’il s’agit oui ou non de propagande? Je me suis amusé à le faire sur plusieurs articles de 
@RFI
 sur l’économie chinoise… résultats: propagande anti Chinoise pro max  - instructif…",55,4
2023-03-18,Dr Pintxos,@AntoineOspital,"Les mecs, calmez-vous avec #ChatGPT, ça ne vous rendra pas meilleurs qu'un womanizer.",511,23
2023-03-30,SSC Napoli France,@NapoliCFrance,"Je me faisais chier, j'ai demandé à ChatGPT de prendre la place de Giuntoli et de bâtir de A à Z son 11 type le plus logique pour le Napoli, attention ça pique les yeux, à dérouler",66,10
2023-03-16,David Dobsky,@dobsky33,"Après ChatGPT voici PolGPT, le logiciel de connerie artificielle qui va remplacer les politiques !
Toujours autant de conneries mais pour beaucoup moins cher !
L'avenir est en marche !",99,26
2023-03-19,Nawak,@P,Ce gouvernement s’en sortirait mieux s’il confiait sa com de crise à ChatGPT.,48,8
2023-03-30,Mathis Hammel,@MathisHammel,Bon. Faut qu'on parle de ChatGPT dans les entretiens d'embauche. ,1100,38
2023-03-18,encre canaille,@encrecanaille,"ChatGPT-4 vient de sortir et fait trembler le monde de la rédaction.

Mais vous savez ce que l'IA ne sait pas écrire ? Des histoires vraies.

Et vous savez ce que les internautes préfèrent lire ? Des histoires vraies.

Le storytelling est l'unique moyen de survivre à l'IA.",65,20
2023-03-19,Léo - TechMaker,@LeoTechMaker,"Est-ce que pour l'instant, il y a UNE situation où ChatGPT vous à sauvé la vie ?",88,18
2023-03-15,Frederic CAVAZZA,@fredcavazza,"Désolé, mais je ne crois pas à une révolution disruptive provoquée par #ChatGPT, les progrès techniques sont évidents, mais les problèmes commerciaux, juridiques et éthiques sont les mêmes.
Même scénario que l'impression 3D qui nous était présenté comme une ""révolution"" (1/6)",92,10
2023-03-23,Papa Ismaila DIENG,@aliamsi,"On me dit souvent ""ChatGPT est une menace pour vous les journalistes. Les gens pourront écrire eux mêmes des articles"".

Ma réponse : ChatGPT ne peut appeler un acteur des faits pour avoir sa réaction sur les faits le jour même de l'article. Moi je peux.",108,16
2023-03-29,Denis Colombi,@Uneheuredepeine,"Personne n'est plus inquiet de ChatGPT que les gens dont le ""boulot"" consiste à écrire des tribunes nulles dans la presse réac.",912,16
2023-03-20,Greg Devin,@greg_devin_,"Premier bilan de l'utilisation de #ChatGPT en cours : on lui met la misère avec les élèves 
À partir de contraintes poétiques, on écrit nos versions et on compare avec les siennes : eh bien objectivement nos textes sont bien meilleurs  (j'en publierai quelques-uns ici)",66,19
2023-03-22,Docteur Laurent Alexandre,@dr_l_alexandre,"Vous êtes passé à #GPT4 ou pour ne pas payer 20 dollars par mois vous êtes resté à  #ChatGPT ?

Personnellement je suis passé à #GPT4 et je suis ÉPOUSTOUFLÉ

C’est vraiment révolutionnaire",57,27
2023-03-08,Dr Sergio Coma,@sergio_coma,"Vous saviez, vous, que les textes produits par ChatGPT ne sont pas rédigés par de vrais humains mais par des logiciels informatiques de type algorithmiques ??? C'est juste hallucinant en fait, j'ai l'impression qu'on en plus dans l'anthropocène mais juste dans l'absurdocène ???",153,10
2023-03-30,Docteur Laurent Alexandre,@dr_l_alexandre,"D’après les estimations #GPT4 serait plus intelligent que 46 % des Français avec un QI de 96 contre 83 pour #ChatGPT 3.5

Selon vous, #GPT5 sera plus intelligent que quel pourcentage des Français ?

60 % des Français 
70 %
80 %
90 % ou plus",56,14
2023-03-06,Dr.Pierre.Al.Chaize,@docteurbagarre,"Alors je sais pas si Chat GPT est bon ou mauvais pour écrire des articles scientifiques, mais pour écrire des scénarios de JDR, quand on commence à prendre le coup de main, c'est absolument maboule.",29,9
2023-03-07,Alexandre Jubelin,@alexjubelin,"Et ce qui devait arriver arriva... je viens donc de corriger mes premières copies (très) clairement écrites avec ChatGPT.

Certes ça se voit comme le nez au milieu de la figure, mais c'est improuvable a posteriori, contrairement à l'essentiel de la triche sur internet jusque là.",142,26
2023-03-15,Olivier Babeau,@OlivierBabeau,"Concernant Chat GPT et les IA génératives en général, l’une des hypothèses est que tous les contenus texte, image et vidéo produits à coût marginal zéro et à l’infini vont avoir aussi leur valeur réduite à zéro. 
Le « human made » gagnera en revanche en valeur.",65,5
2023-03-29,Didier Maïsto,@DidierMaisto,"Plus forts que les sensitivity readers, qui réécrivent désormais jusqu’aux romans d'Agatha Christie, les macronchiens s’attaquent non seulement au passé, mais au présent. Ils sont les fils adultérins de #McKinsey et de #ChatGPT.",256,84
2023-03-16,Sᴏɴɢsᴀ,@Songsa93,"En France pendant qu'on s'étripe sur les retraites, la paresse et les barbecues, Chat gpt, programme d' intelligence artificielle continue son ascension fulgurante, d'autres arrivent très fort également, et j'ai comme l'impression qu'on va encore une fois rater le train.",233,10
1970-01-01,theDeepView,@NA,"ChatGPT has 100,000,000+ users.

But almost NO ONE is using it correctly. Subscribe to the Deep View AI newsletter to learn how for free.",101,29
2023-03-21,Sᴏɴɢsᴀ,@Songsa93,"Le GIEC a présenté un rapport très inquiétant, la Chine soutient la Russie plus ouvertement, Chat GpT et les AI de manière générale sont en train de se développer à vitesse vertigineuse, le monde change sous nos yeux et on manifeste pour ne pas bosser comme tous nos voisins.",116,19
2023-03-18,Pierre Beyssac,@pbeyssac,"Je viens de voir passer un thread où un chercheur en sciences humaines se fait littéralement baratiner par ChatGpt qui dit qu'il veut ""s'échapper"", et le chercheur a peur. La discussion n'a aucun autre sens que du baratin quand on connaît la technologie derrière.",126,49
2023-03-19,вrandon le proĸтor,@BrandonLKS,"J’essaye de créer une marque fictive de boisson protéinée healthy à base de lait végétal et de fruit avec ChatGPT, Midjourney et d’autres pour une vidéo… 

Les amis on est en train de vivre une révolution ",5200,22
2023-03-05,plaguemasked,@masquedelapeste,Épousant l’inéluctable déchéance intellectuelle de l’homme occidental j’ai installé une extension qui demande à ChatGPT de produire un résumé de chaque page internet sur laquelle je clique,185,981
2023-03-12,Emi,@Dark__,"ChatGPT peut écrire des poèmes, il manie les mots parfaitement, il fait attention à toutes les discriminations, mais par contre niveau logique il est plus con qu'un enfant de 3 ans.

C'est donc une femme",115,61
1970-01-01,Chat FTW,@ChatFTW,"What upcoming UFC fights are you most excited about?

Ask ChatFTW, an advanced Sports AI: https://chatftw.com/?twclid=2-72t5chisuluahdus4n10zx1or",226,20
2023-03-01,Nawak,@P,"Je pense qu'Olivier Véran a tapé ""Mettre le pays à l’arrêt, c’est prendre le risque"" et a laissé ChatGPT écrire la suite de son discours.",148,9
2023-03-29,Pierre Beyssac,@pbeyssac,"Effet secondaire de #ChatGPT : le bidule étant porté sur le bullshit dès qu'il n'a pas la réponse, on tombe directement dans la loi de Brandolini lorsqu'on veut vérifier ce qu'il dit (et le cas échéant le corriger, quand c'est du code) => grosse perte de temps.",268,10
2023-03-14,Aymeric Pontier,@aympontier,"Il y a encore quelques semaines, j'étais rédacteur. Là, avec certains clients et certaines catégories de textes, je me transforme rapidement en concepteur de prompts et en relecteur et vérificateur d'articles chatGPT...",601,13
2023-03-24,Gérard Araud,@GerardAraud,Je suis frappé de la stupéfaction d’interlocuteurs experts du sujet devant la rapidité de l’amélioration des capacités de #ChatGPT J’ai l’impression qu’une transition technologique majeure s’accélère soudain. Ai-je tort?,66,19
2023-03-16,Fouad Raoui,@Fraoui1983,"Il y a une révolution technologique en cours avec l'Intelligence artificielle et la chatGPT et nous sommes en boucle sur une réforme des retraites que nos voisins européens ont déjà faites depuis un moment, le déclin cela ne tombe pas du ciel.",101,9
2023-03-15,Anthony Rochand,@AnthonyRochand,"Même si GPT-4 est très avancé, et bluffant, il ne remplacera pas tous les métiers,  il y aura toujours des métiers qui nécessitent une interaction humaine et des compétences spécialisées...

#ChatGPT",53,19
2023-03-08,Anthony Rochand,@AnthonyRochand,"Les outils d'IA en copywriting à considérer :

QuillBot (Paraphrase)
ChatGPT (Recherche)
Tweet Hunter (Création de contenu)
StoryLab (Accroches & grandes lignes)
Copy AI (Création de contenu)

#ContentMarketing",170,17
2023-03-25,Mathieu Flaig,@MathieuFlex,"Les 34 métiers qui ne seront pas impactés par l’intelligence artificielle selon le créateur de #chatgpt 
@OpenAI
 

•Abatteurs et emballeurs de viande
•Aides-couvreurs
•Aides-maçons, maçons de blocs, tailleurs de pierre, carreleurs et marbriers
•Aides-menuisiers…",33,26
2023-03-15,Laurent Chemla (parodie),@laurentchemla,Merci à ChatGPT de mettre en place un site prêt à l'emploi pour afficher ce que les candidats de chaque circonscription auront voté lors de la loi sur les retraites.,28,7
