Date,Username,Handle,Tweet body
2023-11-13,Benjamin Code,@benjamincode,"ChatGPT, je trouvais déjà que c'était une folie de payer aussi peu cher pour tout ce que ça apporte.
Mais depuis qu'ils ont ajouté Dalle 3, les GPTs, chat Vision etc... Je trouve que c'est juste le meilleur investissement de ma vie, c'est fou."
2023-11-11,NA,@tahiadzfrr,chatgpt il rep a la seconde j’aime trop 
2023-11-15,anti-adulte,@FSucculent,C'est impossible d'envoyer un mail avec des bullet points sans que ça fasse ChatGPT en 2023
2023-11-11,Zuicide sans H,@zlotys_50,"Si t’es à l’université à Lille ou Bruxelles, en physique, que t’as pris le TGV hier soir voiture 8 et que t’es descendue à Chessy, sache que je peux t’aider sur ton tp n°7 sur la résonance et que j’explique mieux que ChatGPT (je lance une bouteille à la mer, je veux la retrouver)"
2023-11-14,Elias W. BA,@eliaswalyba,"Bon après je ne peux pas organiser tout ça seul hein. Les masters de la TL, je vais tous vous écrire pour aider. J'étais pas prêt à autant d'engagement sur ce challenge. Avec ChatGPT et tout, il faut un jury extrêmement vigilant. Anyway, je vais tous vous contacter (entout cas…"
2023-11-15,NA,@AlphaKushh,Chatgpt a détruit l’education
2023-11-14,JYPAPI,@HEAVIERTHANSOME,Literalmente TODOS mis profes usan midjourney y chatgpt
2023-11-13,AImmersion,@EnzoManis,"Tu hésites à investir dans ChatGPT Plus ? 

 GPT-4
 Plugins
 Advanced Data Analysis
 ChatGPT connecté à internet
 Génération d'images via DALL-E 3
 ChatGPT Vision (compréhension d'images)
 GPTs

Si tu as les moyens, fonce ! C'est l'outil ULTIME pour te lancer. "
2023-11-12,Jesus Christ Superstar,@gyslain_k,Les twittos besoin urgent les profs peuvent capter que on utilise chat gpt dans nos rendu ? Ce n'est pas pour un ami
2023-11-14,❦,@abcdnz,Merci à chat gpt qui me fait chacune de mes fiches d’arrêt
2023-11-14,☆,@bunny999ngel,chat gpt meilleur invention de la décennie (viens de refaire une session de psy gratuite)
2023-11-15,Elena,@Nebula,Mon travail aujourd’hui consiste à m’embrouiller avec chatgpt
1970-01-01,Thomas | TikTok & UGC,@ThomaSislay," TikTok est GRATUIT
 ChatGPT est GRATUIT
 Système io est GRATUIT
 Leonardo & Canva sont GRATUIT
 Notion est GRATUIT
 Instagram est GRATUIT
 Youtube est GRATUIT
 CapCut est GRATUIT

Au boulot !"
1970-01-01,MAX LA MENACE,@cMaxWsh69,Mon chat gpt il a bugé pendant 3h j’me suis vue me déscolariser 
2023-11-13,aka jen selter 𓂀 𓋹 ☆,@n4yajoestar,chatgpt qui bug c’est ma 13eme raison comment je fais une lettre de motivation moi
1970-01-01,Jazmíncita,@j4zmincita,Il faut absolument que chatgpt soit réparé avant que le taff réalise que je suis un imposteur qui ne sait pas coder
2023-11-14,M.G (Annie D'Algo),@URSSfanaccount,chat gpt gro teuber là à pas comprendre ce que je demande jsp fais moi ce ptn de programme python jsp
1970-01-01,J-10 BABY.,@astrideeu,"Je DÉTÈSTE chat GPT, et comme par hasard je suis dans l’obligation de l’utiliser puisqu’on me l’a demandé pour le taff, et comme par hasard ça beug. 

Je hais encore plus ce truc."
2023-11-15,Λuχεηcε,@AuxenceBellini,"Je vais paraître aigri, mais j’en ai ras le cul des posts LinkedIn sur « Apprenez à utiliser Chat GPT pour faire [truc à faire] »

Je viens de retomber encore sur un putain de truc pour générer du pauvres textes sur des putains de PowerPoint…

À croire que les gens ne savent-"
